  -1.62366E+00   6.18258E+00  -3.68640E+00
  -8.82290E-01   5.55172E+00  -4.02859E+00
   2.65379E-01   5.63338E+00  -2.58287E+00
   1.11924E+01   3.46184E+00  -3.03248E-01
   1.26514E+01   2.74579E+00   2.54600E-01
   1.06140E+01   3.37836E+00  -9.92520E-01
   1.13915E+01   3.00467E+00  -1.64803E+00
   1.23802E+01   2.13432E+00  -1.85499E+00
   1.32346E+01   2.14326E+00  -7.16369E-01
   1.17402E+01   3.41610E+00   4.65573E-01
   9.78205E+00   3.77043E+00  -3.98829E-01
   1.10369E+01   3.70799E+00   1.34105E+00
   9.25634E+00   4.42706E+00   2.97366E-01
   1.00054E+01   4.31624E+00   1.56921E+00
   9.06212E+00   2.91688E+00   3.45618E+00
   9.62229E+00   5.97713E-01   4.42999E+00
   8.93184E+00   1.62421E+00   4.15997E+00
   1.01954E+01   3.12250E+00   2.68150E+00
   1.07788E+01   2.03547E+00   2.92644E+00
   1.06555E+01   7.80127E-01   3.64105E+00
  -6.86307E+00   4.92174E+00  -3.24345E+00
  -5.30694E+00   3.79905E+00  -4.20143E+00
  -6.29350E+00   4.12641E+00  -3.76361E+00
  -4.71439E+00   4.51587E+00  -4.08202E+00
  -3.91882E+00   5.19584E+00  -3.98150E+00
  -6.24722E+00   5.61521E+00  -3.07146E+00
  -4.75011E+00   2.91150E+00  -4.81129E+00
  -3.16157E+00   3.01566E+00  -5.01028E+00
  -2.48966E+00   4.07669E+00  -4.70163E+00
  -3.94797E+00   2.39419E+00  -5.15857E+00
  -3.02877E+00   4.91628E+00  -4.25160E+00
  -8.54648E+00   4.57056E+00  -3.11670E+00
  -9.27273E+00   3.85418E+00  -3.39070E+00
  -7.69806E+00   2.70875E+00  -4.38507E+00
  -8.73398E+00   3.09704E+00  -4.02809E+00
  -7.01364E+00   3.41140E+00  -4.07167E+00
  -7.82490E+00   5.24106E+00  -2.82131E+00
  -7.00471E+00   1.74436E+00  -4.98049E+00
  -5.48081E+00   2.24536E+00  -5.02024E+00
  -6.05989E+00   1.57571E+00  -5.16564E+00
   8.16812E+00   1.45784E+00  -4.48271E+00
   9.73231E+00  -4.29490E-01  -4.41919E+00
   7.72270E+00   9.46844E-01  -5.06075E+00
   8.44392E+00  -1.64954E-01  -4.98366E+00
   1.00188E+01   9.62210E-01  -4.05470E+00
   9.06507E+00   1.94243E+00  -3.64703E+00
   2.05597E+00  -4.92887E+00  -4.68520E-01
   2.78039E+00  -5.23266E+00   6.89078E-01
   7.08315E-01  -3.51522E+00   4.57806E-01
   9.48966E-01  -4.32480E+00  -5.50573E-01
   2.32044E+00  -4.61221E+00   1.46822E+00
   1.42020E+00  -3.65192E+00   1.48390E+00
   1.00683E+00  -3.14891E+00   2.49787E+00
   2.97943E+00  -4.51709E+00   2.36227E+00
   3.01054E+00  -3.56355E+00   3.41503E+00
   1.59638E+00  -3.18388E+00   3.31201E+00
   2.18339E+00  -2.95197E+00   3.87474E+00
  -2.25478E+00  -3.79242E+00   5.28762E-01
  -1.57450E+00  -3.88014E+00  -4.53224E-01
  -9.36954E-02  -3.79811E+00  -4.18328E-01
  -1.15871E-01  -3.07596E+00   9.41539E-01
  -7.39344E-01  -2.97155E+00   1.67112E+00
  -1.62132E+00  -3.33174E+00   1.51735E+00
  -3.32252E+00  -2.92013E+00   2.64209E+00
  -1.49791E+00  -2.97958E+00   2.68432E+00
  -3.94797E+00  -3.12362E+00   2.00198E+00
  -3.11951E+00  -3.50436E+00   1.42311E+00
  -2.34422E+00  -2.51174E+00   3.44635E+00
   1.02946E+01  -1.68269E+00  -4.47799E+00
   1.12625E+01  -2.76909E+00  -4.26799E+00
   1.20060E+01  -2.61197E+00  -3.45127E+00
   1.20074E+01  -6.20382E-01  -3.18805E+00
   1.08207E+01  -4.24698E-01  -3.86960E+00
   1.25045E+01  -1.47050E+00  -3.05713E+00
   8.34923E+00  -1.42742E+00  -5.22210E+00
   8.99831E+00  -2.53727E+00  -5.21389E+00
   9.96311E+00  -2.58460E+00  -4.90445E+00
   1.15303E+01  -6.01823E+00  -3.95983E+00
   9.84758E+00  -6.22405E+00  -3.95237E+00
   1.12851E+01  -4.76484E+00  -4.40674E+00
   1.06079E+01  -6.76957E+00  -3.42544E+00
   1.41697E+00  -3.07707E+00  -4.07601E+00
   2.19976E+00  -2.65751E+00  -4.70702E+00
   3.50622E+00  -3.90420E+00  -3.85103E+00
   1.35218E+00  -3.90244E+00  -2.75154E+00
   6.24617E-01  -3.27650E+00  -3.51135E+00
   2.94981E+00  -3.27555E+00  -4.26048E+00
   2.94981E+00  -4.21660E+00  -3.10279E+00
   2.33129E+00  -4.35572E+00  -2.41205E+00
  -9.19840E+00   5.86394E+00  -1.42214E+00
  -8.54648E+00   5.68897E+00  -2.12386E+00
  -6.97208E+00   6.04659E+00  -2.43742E+00
  -6.86065E+00   6.85349E+00  -1.37671E+00
  -7.64738E+00   6.84034E+00  -3.21416E-01
  -6.24722E+00   6.72662E+00  -2.07210E+00
  -8.67481E+00   6.36580E+00  -6.15691E-01
  -1.40228E+01  -3.26209E-01  -3.74698E+00
  -1.62072E+01  -3.70146E-01  -2.58944E+00
  -1.45308E+01   5.19089E-01  -3.22093E+00
  -1.54396E+01   6.71456E-01  -2.45878E+00
  -8.60563E+00  -4.57094E-01  -4.83027E+00
  -9.36656E+00   8.02356E-01  -4.76064E+00
  -1.00575E+01  -1.67409E+00  -3.78318E+00
  -1.16203E+01  -4.18894E-01  -4.29738E+00
  -1.08457E+01  -1.00239E+00  -4.18009E+00
  -9.17157E+00  -1.33129E+00  -4.29839E+00
  -7.18910E+00  -5.66506E-01  -5.02376E+00
  -7.01364E+00  -1.96362E+00  -4.05731E+00
  -8.54648E+00  -1.87714E+00  -3.97694E+00
  -7.78006E+00   1.67818E-01  -5.12479E+00
  -6.14720E+00  -1.41249E+00  -4.57146E+00
  -7.79782E+00  -2.44216E+00  -3.45630E+00
  -5.48081E+00  -2.01827E+00  -4.10810E+00
  -4.73166E+00  -2.83514E-01  -5.33723E+00
  -3.94797E+00  -9.81080E-01  -5.17643E+00
  -3.94797E+00  -2.13203E+00  -4.21384E+00
  -4.69609E+00  -2.54549E+00  -3.60424E+00
  -5.48081E+00  -8.30450E-01  -5.03644E+00
  -3.16665E+00  -1.67323E+00  -4.80289E+00
   1.44705E+01  -5.85450E+00  -1.55794E+00
   1.37197E+01  -7.14773E+00  -1.56153E+00
   1.48170E+01  -5.98647E+00   6.20154E-01
   1.39972E+01  -7.25118E+00   6.24095E-01
   1.35823E+01  -7.67888E+00  -3.52805E-01
   1.48022E+01  -5.67948E+00  -3.81610E-01
   1.34110E+01   4.98757E-01   1.29616E+00
   1.25584E+01   5.47539E-01   2.20418E+00
   1.41736E+01  -3.77168E-01   7.07282E-01
   1.39461E+01  -1.25670E+00   1.66862E+00
   1.31609E+01  -1.28939E+00   2.65610E+00
   1.24553E+01  -1.50325E-01   2.68217E+00
  -8.15512E-01  -2.25244E+00  -4.43617E+00
  -9.06822E-01  -1.38545E+00  -5.28740E+00
   6.35530E-01  -1.30195E+00  -5.54593E+00
   7.28124E-01  -2.52286E+00  -4.57209E+00
  -1.87290E+00  -1.72469E+00  -4.85793E+00
  -1.76999E-01  -4.55232E-01  -5.80129E+00
  -2.73920E-01  -2.95930E+00  -3.75701E+00
  -2.41513E+00  -2.17180E+00  -4.25079E+00
  -8.82290E-01  -3.16328E+00  -3.13999E+00
  -1.57298E+00  -3.43723E+00  -2.40964E+00
  -3.17865E+00  -2.65731E+00  -3.63555E+00
  -2.41513E+00  -3.01353E+00  -3.00081E+00
  -1.15871E-01  -2.18323E+00   4.17642E+00
   1.58800E+00  -2.39647E+00   4.14785E+00
   6.46503E-01  -2.88630E-01   5.26006E+00
  -1.15871E-01  -8.68930E-01   4.98720E+00
  -8.77408E-01  -1.48927E+00   4.58897E+00
   6.68707E-01  -2.76604E+00   3.62298E+00
   2.20601E+00  -1.68811E+00   4.66979E+00
   1.41697E+00  -9.05343E-01   5.02104E+00
   3.87970E+00  -5.37181E+00  -1.34475E+00
   4.48264E+00  -5.33565E+00  -2.11055E+00
   6.04948E+00  -5.77703E+00  -2.58723E+00
   6.19464E+00  -6.42600E+00  -1.32916E+00
   5.61178E+00  -6.41975E+00  -5.50573E-01
   5.06001E+00  -5.25945E+00  -2.80522E+00
   4.46096E+00  -5.85966E+00  -5.41948E-01
   4.58749E+00  -4.63916E+00  -3.53758E+00
   2.91790E+00  -4.93594E+00  -1.60230E+00
   5.43393E-01  -4.13034E+00  -1.52610E+00
  -8.73259E-01  -3.98023E+00  -1.54955E+00
   3.71622E+00  -3.09730E+00   4.00981E+00
   4.47045E+00  -2.57365E+00   4.55050E+00
   3.56510E+00  -1.63007E+00   4.87883E+00
   2.94981E+00  -9.51477E-01   5.06392E+00
  -1.64871E+00  -2.06633E+00   4.06778E+00
  -1.09504E-01  -2.84288E+00   2.49136E+00
  -7.01364E+00  -3.17988E+00   2.05427E+00
  -6.24380E+00  -3.38508E+00   1.40786E+00
  -5.48081E+00  -3.12922E+00   2.00718E+00
  -5.48376E+00  -2.12641E+00   3.42241E+00
  -7.00415E+00  -2.17119E+00   3.43234E+00
  -7.69268E+00  -2.81316E+00   2.67466E+00
  -4.71016E+00  -2.75204E+00   2.58463E+00
  -6.24722E+00  -1.82222E+00   3.84090E+00
   7.56592E+00   5.10751E+00   1.46003E+00
   9.15958E+00   4.20776E+00   2.49119E+00
   8.33626E+00   4.63315E+00   5.87911E-01
   8.19082E+00   4.73609E+00   2.33369E+00
   4.64898E+00   4.48412E+00  -1.79968E+00
   6.16446E+00   3.34221E+00  -2.79370E+00
   6.78190E+00   3.37486E+00  -2.00542E+00
   6.81727E+00   4.17110E+00  -6.57696E-01
   5.24906E+00   4.51381E+00  -1.03167E+00
   5.19662E+00   3.93665E+00  -2.60417E+00
   7.36366E+00   3.53245E+00  -1.38056E+00
   5.84820E+00   4.65331E+00  -3.66965E-01
   7.59977E+00   2.06312E+00  -3.76938E+00
   8.31474E+00   2.31575E+00  -3.05337E+00
   8.29010E+00   3.04593E+00  -1.77438E+00
   6.51400E+00   2.75852E+00  -3.42960E+00
   9.07966E+00   2.57173E+00  -2.50437E+00
   1.05663E+01   2.69685E+00  -2.43097E+00
   9.84758E+00   2.32460E+00  -3.06160E+00
   9.08116E+00   3.43780E+00  -1.04777E+00
   1.23691E+01  -4.73425E+00  -3.87156E+00
   1.36934E+01  -5.82988E+00  -2.62934E+00
   1.36880E+01  -3.66196E+00  -2.59916E+00
   1.26241E+01  -3.88422E+00  -3.43221E+00
   1.26707E+01  -5.66919E+00  -3.48089E+00
   1.40449E+01  -4.75051E+00  -2.41385E+00
   1.17924E+01  -3.65717E+00  -4.14521E+00
   1.07426E+01  -3.68465E+00  -4.71994E+00
   6.75610E+00   2.89546E+00   4.42643E+00
   8.31474E+00   2.40610E+00   4.06849E+00
   7.48489E+00   5.43293E-01   5.36542E+00
   6.61327E+00   1.60860E+00   5.13601E+00
   6.01548E+00   2.31372E+00   4.99878E+00
   7.73714E+00   3.13446E+00   3.97963E+00
   8.54090E+00   1.01049E+00   4.77545E+00
   4.46243E+00   4.74515E+00   1.55244E+00
   5.38512E+00   4.72512E+00   2.33958E+00
   3.79166E+00   3.77726E+00   3.45134E+00
   2.94719E+00   4.00421E+00   2.51323E+00
   3.54814E+00   4.44428E+00   1.67534E+00
   5.23884E+00   4.00715E+00   3.51721E+00
   4.54110E+00  -5.69130E+00   1.49968E+00
   5.56859E+00  -5.68636E+00   2.33464E+00
   5.36357E+00  -4.56475E+00   3.43141E+00
   3.71622E+00  -4.23940E+00   3.03899E+00
   3.55813E+00  -5.16755E+00   1.65971E+00
   4.46611E+00  -3.79697E+00   3.76574E+00
   6.01548E+00  -5.34205E+00   3.04765E+00
   6.01548E+00  -4.28010E+00   4.09296E+00
   6.60281E+00  -6.07024E+00   2.71893E+00
   7.54782E+00  -5.91761E+00   3.58941E+00
   7.54331E+00  -4.77125E+00   4.61648E+00
   6.61670E+00  -3.87711E+00   4.71642E+00
  -5.48266E+00  -3.01661E+00  -2.69498E+00
  -7.00768E+00  -3.01345E+00  -2.69435E+00
  -6.24722E+00  -3.21311E+00  -2.17016E+00
   1.04644E+01   1.73925E+00  -3.46579E+00
   1.11119E+01   5.12486E-01  -3.47133E+00
   1.21868E+01   7.31902E-01  -2.73249E+00
  -1.32127E+01   4.11975E+00   1.50127E+00
  -1.16122E+01   4.50702E+00   1.95650E+00
  -1.27959E+01   4.59143E+00   4.65573E-01
  -1.15553E+01   5.02912E+00   4.35964E-01
  -1.07966E+01   5.00994E+00   1.48931E+00
  -1.23509E+01   3.95030E+00   2.41753E+00
  -9.95299E+00   5.74484E+00  -3.10992E-01
  -9.20168E+00   5.99955E+00   4.13317E-01
  -1.10109E+01   5.30251E+00  -6.30997E-01
  -9.52505E+00   5.33691E+00   1.75027E+00
  -3.18155E+00  -8.27194E-01   4.94841E+00
  -3.18155E+00  -1.92135E+00   3.93302E+00
  -1.64871E+00  -8.40956E-01   4.96120E+00
  -3.96257E+00  -1.31467E+00   4.38355E+00
  -2.41397E+00  -2.91216E-01   5.24050E+00
   6.78655E+00  -6.94844E+00   1.49822E+00
   8.91721E+00  -7.35985E+00   2.67332E+00
   7.90475E+00  -7.52205E+00   1.48172E+00
   8.31474E+00  -7.48577E+00   1.99158E+00
   8.50977E+00  -6.71913E+00   3.28138E+00
   5.15655E+00  -6.28906E+00   4.64063E-01
   7.44554E+00  -7.41899E+00   4.76498E-01
   5.83203E+00  -6.34266E+00   1.70210E+00
   6.81540E+00  -6.93511E+00  -5.92671E-01
  -8.56593E+00   4.26020E+00   3.65357E+00
  -8.76804E+00   3.17326E+00   4.77714E+00
  -1.00766E+01   2.89770E+00   4.52566E+00
  -9.99856E+00   3.87343E+00   3.34631E+00
  -7.81478E+00   3.86670E+00   4.38465E+00
  -9.31290E+00   2.42799E+00   5.10498E+00
  -7.61411E+00   4.88980E+00   3.33512E+00
  -7.01364E+00   5.55314E+00   2.92877E+00
  -6.26909E+00   5.10868E+00   3.53357E+00
  -7.01364E+00   3.42363E+00   5.01418E+00
  -6.35481E+00   4.08188E+00   4.61007E+00
  -5.48081E+00   5.72821E+00   3.09147E+00
  -3.91608E+00   5.90396E+00   3.38512E+00
  -3.79715E+00   4.95385E+00   4.20412E+00
  -5.48081E+00   4.70317E+00   4.17110E+00
  -4.74229E+00   6.32710E+00   2.74896E+00
  -3.18155E+00   5.52770E+00   3.92127E+00
  -4.69813E+00   4.25120E+00   4.75088E+00
   2.94981E+00  -2.18422E+00  -5.27848E+00
   4.45741E+00  -2.39772E+00  -5.54447E+00
   3.67465E+00  -1.52104E+00  -5.79050E+00
  -2.41513E+00   6.89288E+00  -3.24277E+00
  -2.41513E+00   5.60949E+00  -4.08228E+00
  -8.64183E-01   4.10070E+00  -4.98051E+00
  -1.74467E-01   4.86805E+00  -4.50653E+00
  -1.32272E+01   7.40489E-01  -3.73423E+00
  -1.23786E+01  -9.55418E-01  -4.13644E+00
  -1.70233E+01   7.16168E-01   4.65573E-01
  -1.75580E+01  -1.49699E+00   4.77005E-01
  -1.68547E+01   6.58948E-01  -5.77146E-01
  -1.73862E+01  -5.23681E-01  -4.01624E-01
  -1.68786E+01   6.20420E-01   1.38604E+00
  -1.72922E+01  -3.77168E-01   1.23116E+00
  -1.75781E+01  -1.47050E+00  -5.50573E-01
  -1.72624E+01  -1.56933E+00   1.65960E+00
  -1.73375E+01  -2.34924E+00  -5.50573E-01
  -1.66529E+01  -3.19464E+00  -5.50573E-01
  -1.61514E+01  -3.31899E+00   5.10117E-01
  -1.65335E+01  -2.74990E+00   1.69155E+00
  -9.31327E+00  -4.83237E-01   4.92674E+00
  -9.31290E+00  -1.90137E+00   3.91446E+00
  -7.78006E+00  -1.87351E+00   3.88857E+00
  -7.77493E+00  -4.79999E-01   4.92720E+00
  -1.00827E+01  -1.28597E+00   4.39504E+00
  -8.53634E+00  -2.36162E+00   3.27987E+00
  -7.01120E+00  -1.26964E+00   4.36216E+00
  -8.54648E+00   5.26405E-02   5.14684E+00
  -1.15578E+01  -1.32095E+00   4.32479E+00
  -1.00793E+01   7.16092E-02   5.12921E+00
  -1.08598E+01   6.96353E-01   5.14608E+00
  -1.17298E+01   7.19542E-01   4.99931E+00
  -1.23583E+01  -4.89276E-01   4.64046E+00
  -1.08457E+01  -1.91561E+00   3.92770E+00
  -1.37217E+01   1.57208E+00   4.05790E+00
  -1.45402E+01   4.98986E-01   4.14582E+00
  -1.37965E+01  -3.38670E-01   4.45412E+00
  -1.31450E+01   2.24438E+00   3.91818E+00
  -1.23859E+01   1.82592E+00   4.55621E+00
  -6.24514E+00  -4.85456E-01   4.95455E+00
  -4.71439E+00  -1.82589E+00   3.84430E+00
  -4.71439E+00  -7.45688E-01   4.87266E+00
  -5.29903E+00  -2.01133E-01   5.14169E+00
   1.15226E+01  -2.78467E-01   3.59523E+00
   1.29990E+01  -2.58782E+00   3.65112E+00
   1.21510E+01  -2.58487E+00   4.47055E+00
   1.13264E+01  -1.43785E+00   4.43233E+00
   1.13800E+01  -7.09994E+00   3.55991E+00
   1.21468E+01  -7.43620E+00   2.96166E+00
   1.27479E+01  -7.56762E+00   2.28687E+00
   1.36579E+01  -6.92470E+00   2.48409E+00
   1.36309E+01  -5.80047E+00   3.47963E+00
   1.26214E+01  -5.66149E+00   4.40116E+00
   1.21468E+01  -6.50969E+00   4.13284E+00
  -9.35906E+00  -3.54126E+00   1.44567E+00
  -8.55696E+00  -3.64946E+00   4.65830E-01
  -7.01339E+00  -3.59038E+00   4.68812E-01
  -8.54648E+00  -3.21217E+00   2.08428E+00
  -7.78043E+00  -3.53434E+00  -5.58252E-01
  -7.01639E+00  -3.32711E+00  -1.60550E+00
  -5.48100E+00  -3.37523E+00  -1.60333E+00
  -4.64285E+00  -3.61283E+00  -5.52072E-01
  -5.47999E+00  -3.53888E+00   4.72703E-01
  -1.00796E+01  -3.28556E+00  -1.47084E+00
  -8.55420E+00  -3.31323E+00  -1.47484E+00
  -9.43375E+00  -3.59142E+00  -5.12132E-01
  -1.08457E+01  -3.09960E+00  -2.06466E+00
  -1.00786E+01  -2.73486E+00  -2.66689E+00
  -8.61437E+00  -2.87193E+00  -2.63015E+00
  -1.08536E+01  -2.93300E+00   2.57887E+00
  -9.31871E+00  -2.95725E+00   2.58808E+00
  -1.16302E+01  -2.34762E+00   3.27053E+00
  -1.00793E+01  -3.25027E+00   2.11969E+00
   1.38879E+01  -4.75051E+00   3.26056E+00
   1.35596E+01  -3.55980E+00   3.39947E+00
   1.33157E+01  -4.75051E+00   4.04764E+00
   1.27175E+01  -3.82177E+00   4.42230E+00
   1.43636E+01  -4.75051E+00   2.49787E+00
   1.23576E+01  -4.72535E+00   4.81019E+00
  -1.34052E+01   4.20049E+00  -6.30129E-01
  -1.26907E+01   4.14896E+00  -1.72474E+00
  -1.14667E+01   4.83058E+00  -1.50594E+00
  -1.49754E+01   3.17813E+00   6.05040E-01
  -1.39642E+01   4.05664E+00   4.55286E-01
  -1.52227E+01   2.76335E+00  -3.77401E-01
  -1.45929E+01   2.85220E+00  -1.51410E+00
  -1.37769E+01   3.61570E+00  -1.39149E+00
   8.47078E+00  -5.64988E+00   4.35824E+00
   1.06140E+01  -6.56770E+00   4.18676E+00
   1.06140E+01  -5.40707E+00   5.14037E+00
   9.84814E+00  -4.66276E+00   5.41970E+00
   9.08116E+00  -5.24080E+00   4.98584E+00
   9.08116E+00  -6.37325E+00   4.00604E+00
   9.82416E+00  -6.98495E+00   3.52489E+00
   1.13707E+01  -6.05294E+00   4.70693E+00
  -9.88914E+00   4.64455E+00   2.33647E+00
  -1.16122E+01   3.57041E+00   3.11831E+00
  -9.31290E+00   4.39067E+00   2.86451E+00
  -1.10271E+01   3.35830E+00   3.69686E+00
  -1.56185E+00   4.19507E+00   4.81548E+00
  -1.48384E+00   5.51355E+00   3.68953E+00
  -5.27096E-02   4.12355E+00   4.55984E+00
  -2.41248E+00   4.89460E+00   4.38042E+00
